trade_id,timestamp,instrument,qty,price,trader_id,venue
T71,2025-12-02T15:30:00,SPY,478,192.28,TR869,NASDAQ
T72,2025-12-03T10:30:00,MSFT,479,329.52,TR676,NASDAQ
T73,2025-12-04T11:30:00,MSFT,560,145.92,TR371,NASDAQ
T74,2025-12-05T12:30:00,SPY,912,80.96,TR350,NYSE
T75,2025-12-06T13:30:00,SPY,171,247.18,TR656,BATS
T76,2025-12-07T14:30:00,SPY,636,492.73,TR926,BATS
T77,2025-12-08T15:30:00,NVDA,18,350.54,TR667,NYSE
T78,2025-12-09T10:30:00,MSFT,971,445.16,TR370,NASDAQ
T79,2025-12-10T11:30:00,MSFT,770,298.95,TR378,NYSE
T80,2025-12-01T12:30:00,NVDA,225,372.93,TR308,BATS
T81,2025-12-02T13:30:00,SPY,527,269.84,TR966,NASDAQ
T82,2025-12-03T14:30:00,MSFT,659,240.61,TR383,NASDAQ
T83,2025-12-04T15:30:00,MSFT,351,397.0,TR752,NYSE
T84,2025-12-05T10:30:00,AAPL,769,248.83,TR822,NYSE
T85,2025-12-06T11:30:00,NVDA,19,100.34,TR807,NASDAQ
T86,2025-12-07T12:30:00,NVDA,46,425.57,TR696,BATS
T87,2025-12-08T13:30:00,AAPL,450,107.35,TR415,NYSE
T88,2025-12-09T14:30:00,MSFT,930,211.01,TR798,NASDAQ
T89,2025-12-10T15:30:00,MSFT,372,401.05,TR995,NYSE
T90,2025-12-01T10:30:00,NVDA,777,119.55,TR342,NASDAQ
T91,2025-12-02T11:30:00,AAPL,912,235.53,TR283,BATS
T92,2025-12-03T12:30:00,SPY,811,468.87,TR921,BATS
T93,2025-12-04T13:30:00,AAPL,283,121.64,TR818,NASDAQ
T94,2025-12-05T14:30:00,TSLA,903,67.43,TR581,NASDAQ
T95,2025-12-06T15:30:00,AAPL,846,463.3,TR458,NYSE
T96,2025-12-07T10:30:00,AAPL,238,60.65,TR297,NYSE
T97,2025-12-08T11:30:00,SPY,295,438.96,TR891,NYSE
T98,2025-12-09T12:30:00,SPY,666,279.23,TR795,BATS
T99,2025-12-10T13:30:00,SPY,971,62.42,TR998,NYSE
T100,2025-12-01T14:30:00,AAPL,604,483.14,TR371,NASDAQ
